Date,Open,High,Low,Close,Adj Close,Volume
,RGTI,RGTI,RGTI,RGTI,RGTI,RGTI
2024-02-09,1.18,1.27,1.161,1.25,1.25,5831900
2024-02-12,1.3,1.53,1.265,1.39,1.39,14996400
2024-02-13,1.34,1.34,1.185,1.21,1.21,8930600
2024-02-14,1.28,1.4,1.24,1.3,1.3,14044600
2024-02-15,1.47,1.515,1.2,1.5,1.5,22036000
2024-02-16,1.55,1.74,1.48,1.69,1.69,19222300
2024-02-20,1.83,1.83,1.52,1.64,1.64,12448900
2024-02-21,1.54,1.57,1.45,1.52,1.52,6016800
2024-02-22,1.63,1.7,1.58,1.6,1.6,7239700
2024-02-23,1.62,1.63,1.47,1.58,1.58,6235000
2024-02-26,1.57,1.89,1.556,1.86,1.86,10862500
2024-02-27,1.89,1.97,1.75,1.83,1.83,6968700
2024-02-28,1.82,2.19,1.78,2.01,2.01,13669800
2024-02-29,2.07,2.21,1.825,1.88,1.88,10642300
2024-03-01,1.98,1.99,1.72,1.86,1.86,9225800
2024-03-04,1.92,1.98,1.66,1.69,1.69,9336900
2024-03-05,1.6,1.66,1.52,1.57,1.57,5677600
2024-03-06,1.64,1.84,1.63,1.78,1.78,6735900
2024-03-07,1.83,2.12,1.79,2.08,2.08,13293200
2024-03-08,2.08,2.36,1.91,1.98,1.98,16548600
2024-03-11,2.05,2.13,1.85,1.86,1.86,8240000
2024-03-12,1.96,2.22,1.86,2.21,2.21,15306000
2024-03-13,2.22,2.27,2.0,2.04,2.04,11703200
2024-03-14,2.1,2.13,1.94,1.98,1.98,10442600
2024-03-15,1.8,2.05,1.78,1.965,1.965,6909600
2024-03-18,2.04,2.06,1.94,2.03,2.03,6489900
2024-03-19,1.97,1.98,1.72,1.75,1.75,12160500
2024-03-20,1.79,1.8,1.64,1.71,1.71,8733600
2024-03-21,1.8,1.82,1.67,1.69,1.69,6144500
2024-03-22,1.7,1.73,1.61,1.63,1.63,5483000
2024-03-25,1.61,1.72,1.59,1.64,1.64,6336800
2024-03-26,1.67,1.68,1.51,1.51,1.51,7307100
2024-03-27,1.52,1.58,1.44,1.54,1.54,7469900
2024-03-28,1.52,1.575,1.49,1.53,1.53,4152600
2024-04-01,1.59,1.59,1.44,1.46,1.46,6086600
2024-04-02,1.39,1.5,1.33,1.37,1.37,6587300
2024-04-03,1.385,1.43,1.35,1.4,1.4,4651900
2024-04-04,1.45,1.49,1.36,1.39,1.39,5435900
2024-04-05,1.35,1.38,1.31,1.34,1.34,4256600
2024-04-08,1.36,1.42,1.3,1.36,1.36,4445400
